Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,23,4,170.0,179.59850182608673,168.51712499999394,270.51695800000175,27.869565217391305,0.19513341640867485,0.033936246331943455,170,180,180,180,190,190,270,270,270,270,270
GET,/metrics,24,4,180.0,240.16277954166694,167.00570899999434,618.7979159999984,788.125,0.20361747799166072,0.033936246331943455,180,180,270,270,460,590,620,620,620,620,620
POST,/v1/predict-batch,20,5,600.0,547.6060896000001,183.18258300000423,756.8135420000033,628.25,0.16968123165971727,0.04242030791492932,610,640,650,700,750,760,760,760,760,760,760
POST,/v1/predict-single,87,21,320.0,334.68565371264395,169.02937500000803,1421.490833,224.0344827586207,0.73811335771977,0.17816529324270314,320,330,330,350,420,640,820,1400,1400,1400,1400
,Aggregated,154,34,320.0,324.444454,167.00570899999434,1421.490833,335.14285714285717,1.306545483779823,0.2884580938215193,320,330,340,400,610,690,760,820,1400,1400,1400
